Category,DateTime,Value,Difference
Inflation Rate,2012-01-31,2.9,0.0
Inflation Rate,2012-02-29,2.9,0.0
Inflation Rate,2012-03-31,2.7,-0.19999999999999973
Inflation Rate,2012-04-30,2.3,-0.40000000000000036
Inflation Rate,2012-05-31,1.7,-0.5999999999999999
Inflation Rate,2012-06-30,1.7,0.0
Inflation Rate,2012-07-31,1.4,-0.30000000000000004
Inflation Rate,2012-08-31,1.7,0.30000000000000004
Inflation Rate,2012-09-30,2.0,0.30000000000000004
Inflation Rate,2012-10-31,2.2,0.20000000000000018
Inflation Rate,2012-11-30,1.8,-0.40000000000000013
Inflation Rate,2012-12-31,1.7,-0.10000000000000009
Inflation Rate,2013-01-31,1.6,-0.09999999999999987
Inflation Rate,2013-02-28,2.0,0.3999999999999999
Inflation Rate,2013-03-31,1.5,-0.5
Inflation Rate,2013-04-30,1.1,-0.3999999999999999
Inflation Rate,2013-05-31,1.4,0.2999999999999998
Inflation Rate,2013-06-30,1.8,0.40000000000000013
Inflation Rate,2013-07-31,2.0,0.19999999999999996
Inflation Rate,2013-08-31,1.5,-0.5
Inflation Rate,2013-09-30,1.2,-0.30000000000000004
Inflation Rate,2013-10-31,1.0,-0.19999999999999996
Inflation Rate,2013-11-30,1.2,0.19999999999999996
Inflation Rate,2013-12-31,1.5,0.30000000000000004
Inflation Rate,2014-01-31,1.6,0.10000000000000009
Inflation Rate,2014-02-28,1.1,-0.5
Inflation Rate,2014-03-31,1.5,0.3999999999999999
Inflation Rate,2014-04-30,2.0,0.5
Inflation Rate,2014-05-31,2.1,0.10000000000000009
Inflation Rate,2014-06-30,2.1,0.0
Inflation Rate,2014-07-31,2.0,-0.10000000000000009
Inflation Rate,2014-08-31,1.7,-0.30000000000000004
Inflation Rate,2014-09-30,1.7,0.0
Inflation Rate,2014-10-31,1.7,0.0
Inflation Rate,2014-11-30,1.3,-0.3999999999999999
Inflation Rate,2014-12-31,0.8,-0.5
Inflation Rate,2015-01-31,-0.1,-0.9
Inflation Rate,2015-02-28,0.0,0.1
Inflation Rate,2015-03-31,-0.1,-0.1
Inflation Rate,2015-04-30,-0.2,-0.1
Inflation Rate,2015-05-31,0.0,0.2
Inflation Rate,2015-06-30,0.1,0.1
Inflation Rate,2015-07-31,0.2,0.1
Inflation Rate,2015-08-31,0.2,0.0
Inflation Rate,2015-09-30,0.0,-0.2
