Date,Open,High,Low,Close
Dec-21,"4,602.82","4,808.93","4,495.12","4,766.18"
Nov-21,"4,610.62","4,743.83","4,560.00","4,567.00"
Oct-21,"4,317.16","4,608.08","4,278.94","4,605.38"
Sep-21,"4,528.80","4,545.85","4,305.91","4,307.54"
Aug-21,"4,406.86","4,537.36","4,367.73","4,522.68"
Jul-21,"4,300.73","4,429.97","4,233.13","4,395.26"
Jun-21,"4,216.52","4,302.43","4,164.40","4,297.50"
May-21,"4,191.98","4,238.04","4,056.88","4,204.11"
Apr-21,"3,992.78","4,218.78","3,992.78","4,181.17"
Mar-21,"3,842.51","3,994.41","3,723.34","3,972.89"
Feb-21,"3,731.17","3,950.43","3,725.62","3,811.15"
Jan-21,"3,764.61","3,870.90","3,662.71","3,714.24"
