Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Money Supply M1,1959-01-31T00:00:00,138.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1959-02-28T00:00:00,139.4,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1959-03-31T00:00:00,139.7,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1959-04-30T00:00:00,139.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1959-05-31T00:00:00,140.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1959-06-30T00:00:00,141.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1959-07-31T00:00:00,141.7,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1959-08-31T00:00:00,141.9,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1959-09-30T00:00:00,141,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1959-10-31T00:00:00,140.5,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1959-11-30T00:00:00,140.4,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1959-12-31T00:00:00,139.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-01-31T00:00:00,140,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-02-29T00:00:00,139.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-03-31T00:00:00,139.8,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-04-30T00:00:00,139.6,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-05-31T00:00:00,139.6,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1960-06-30T00:00:00,139.6,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-07-31T00:00:00,140.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-08-31T00:00:00,141.3,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-09-30T00:00:00,141.2,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
United States,Money Supply M1,1960-10-31T00:00:00,140.9,Monthly,UNITEDSTAMONSUPM1,2015-04-25T21:13:00
United States,Money Supply M1,1960-11-30T00:00:00,140.9,Monthly,UNITEDSTAMONSUPM1,2012-12-05T15:00:00
