symbol,date,value,Value Difference
djia,2017-01-03,19881.76,
djia,2017-01-04,19942.16,60.400000000001455
djia,2017-01-05,19899.29,-42.86999999999898
djia,2017-01-06,19963.8,64.5099999999984
djia,2017-01-09,19887.38,-76.41999999999825
djia,2017-01-10,19855.53,-31.850000000002183
djia,2017-01-11,19954.28,98.75
djia,2017-01-12,19891.0,-63.279999999998836
djia,2017-01-13,19885.73,-5.270000000000437
djia,2017-01-17,19826.77,-58.95999999999913
djia,2017-01-18,19804.72,-22.049999999999272
djia,2017-01-19,19732.4,-72.31999999999971
djia,2017-01-20,19827.25,94.84999999999854
djia,2017-01-23,19799.85,-27.400000000001455
djia,2017-01-24,19912.71,112.86000000000058
djia,2017-01-25,20068.51,155.79999999999927
djia,2017-01-26,20100.91,32.400000000001455
djia,2017-01-27,20093.78,-7.130000000001019
djia,2017-01-30,19971.13,-122.64999999999782
djia,2017-01-31,19864.09,-107.04000000000087
djia,2017-02-01,19890.94,26.849999999998545
djia,2017-02-02,19884.91,-6.029999999998836
djia,2017-02-03,20071.46,186.54999999999927
djia,2017-02-06,20052.42,-19.040000000000873
djia,2017-02-07,20090.29,37.87000000000262
djia,2017-02-08,20054.34,-35.95000000000073
djia,2017-02-09,20172.4,118.06000000000131
djia,2017-02-10,20269.37,96.96999999999753
djia,2017-02-13,20412.16,142.79000000000087
djia,2017-02-14,20504.41,92.25
djia,2017-02-15,20611.86,107.45000000000073
djia,2017-02-16,20619.77,7.9099999999998545
djia,2017-02-17,20624.05,4.279999999998836
djia,2017-02-21,20743.0,118.95000000000073
djia,2017-02-22,20775.6,32.599999999998545
djia,2017-02-23,20810.32,34.720000000001164
djia,2017-02-24,20821.76,11.43999999999869
djia,2017-02-27,20837.44,15.680000000000291
djia,2017-02-28,20812.24,-25.19999999999709
djia,2017-03-01,21115.55,303.3099999999977
djia,2017-03-02,21002.97,-112.57999999999811
djia,2017-03-03,21005.71,2.7399999999979627
djia,2017-03-06,20954.34,-51.36999999999898
djia,2017-03-07,20924.76,-29.580000000001746
djia,2017-03-08,20855.73,-69.02999999999884
djia,2017-03-09,20858.19,2.459999999999127
djia,2017-03-10,20902.98,44.79000000000087
djia,2017-03-13,20881.48,-21.5
djia,2017-03-14,20837.37,-44.11000000000058
djia,2017-03-15,20950.1,112.72999999999956
djia,2017-03-16,20934.55,-15.549999999999272
djia,2017-03-17,20914.62,-19.93000000000029
djia,2017-03-20,20905.86,-8.7599999999984
djia,2017-03-21,20668.01,-237.85000000000218
djia,2017-03-22,20661.3,-6.709999999999127
djia,2017-03-23,20656.58,-4.719999999997526
djia,2017-03-24,20596.72,-59.86000000000058
djia,2017-03-27,20550.98,-45.7400000000016
djia,2017-03-28,20701.5,150.52000000000044
djia,2017-03-29,20659.32,-42.18000000000029
djia,2017-03-30,20728.49,69.17000000000189
djia,2017-03-31,20663.22,-65.27000000000044
djia,2017-04-03,20650.21,-13.010000000002037
djia,2017-04-04,20689.24,39.030000000002474
djia,2017-04-05,20648.15,-41.090000000000146
djia,2017-04-06,20662.95,14.799999999999272
djia,2017-04-07,20656.1,-6.850000000002183
djia,2017-04-10,20658.02,1.9200000000018917
djia,2017-04-11,20651.3,-6.720000000001164
djia,2017-04-12,20591.86,-59.43999999999869
djia,2017-04-13,20453.25,-138.61000000000058
djia,2017-04-17,20636.92,183.66999999999825
djia,2017-04-18,20523.28,-113.63999999999942
djia,2017-04-19,20404.49,-118.78999999999724
djia,2017-04-20,20578.71,174.21999999999753
djia,2017-04-21,20547.76,-30.950000000000728
djia,2017-04-24,20763.89,216.13000000000102
djia,2017-04-25,20996.12,232.22999999999956
djia,2017-04-26,20975.09,-21.029999999998836
djia,2017-04-27,20981.33,6.240000000001601
djia,2017-04-28,20940.51,-40.82000000000335
djia,2017-05-01,20913.46,-27.049999999999272
djia,2017-05-02,20949.89,36.43000000000029
djia,2017-05-03,20957.9,8.010000000002037
djia,2017-05-04,20951.47,-6.430000000000291
djia,2017-05-05,21006.94,55.469999999997526
djia,2017-05-08,21012.28,5.3400000000001455
djia,2017-05-09,20975.78,-36.5
djia,2017-05-10,20943.11,-32.669999999998254
djia,2017-05-11,20919.42,-23.69000000000233
djia,2017-05-12,20896.61,-22.80999999999767
djia,2017-05-15,20981.94,85.32999999999811
djia,2017-05-16,20979.75,-2.1899999999986903
djia,2017-05-17,20606.93,-372.8199999999997
djia,2017-05-18,20663.02,56.090000000000146
djia,2017-05-19,20804.84,141.8199999999997
djia,2017-05-22,20894.83,89.9900000000016
djia,2017-05-23,20937.91,43.07999999999811
djia,2017-05-24,21012.42,74.5099999999984
djia,2017-05-25,21082.95,70.53000000000247
djia,2017-05-26,21080.28,-2.6700000000018917
djia,2017-05-30,21029.47,-50.80999999999767
djia,2017-05-31,21008.65,-20.81999999999971
djia,2017-06-01,21144.18,135.52999999999884
djia,2017-06-02,21206.29,62.11000000000058
djia,2017-06-05,21184.04,-22.25
djia,2017-06-06,21136.23,-47.81000000000131
djia,2017-06-07,21173.69,37.45999999999913
djia,2017-06-08,21182.53,8.840000000000146
djia,2017-06-09,21271.97,89.44000000000233
djia,2017-06-12,21235.67,-36.30000000000291
djia,2017-06-13,21328.47,92.80000000000291
djia,2017-06-14,21374.56,46.090000000000146
djia,2017-06-15,21359.9,-14.659999999999854
djia,2017-06-16,21384.28,24.37999999999738
djia,2017-06-19,21528.99,144.71000000000276
djia,2017-06-20,21467.14,-61.85000000000218
djia,2017-06-21,21410.03,-57.11000000000058
djia,2017-06-22,21397.29,-12.739999999997963
djia,2017-06-23,21394.76,-2.530000000002474
djia,2017-06-26,21409.55,14.790000000000873
djia,2017-06-27,21310.66,-98.88999999999942
djia,2017-06-28,21454.61,143.95000000000073
djia,2017-06-29,21287.03,-167.58000000000175
djia,2017-06-30,21349.63,62.60000000000218
djia,2017-07-03,21479.27,129.63999999999942
djia,2017-07-05,21478.17,-1.1000000000021828
djia,2017-07-06,21320.04,-158.12999999999738
djia,2017-07-07,21414.34,94.29999999999927
djia,2017-07-10,21408.52,-5.819999999999709
djia,2017-07-11,21409.07,0.5499999999992724
djia,2017-07-12,21532.14,123.06999999999971
djia,2017-07-13,21553.09,20.950000000000728
djia,2017-07-14,21637.74,84.65000000000146
djia,2017-07-17,21629.72,-8.020000000000437
djia,2017-07-18,21574.73,-54.9900000000016
djia,2017-07-19,21640.75,66.02000000000044
djia,2017-07-20,21611.78,-28.970000000001164
djia,2017-07-21,21580.07,-31.709999999999127
djia,2017-07-24,21513.17,-66.90000000000146
djia,2017-07-25,21613.43,100.26000000000204
djia,2017-07-26,21711.01,97.57999999999811
djia,2017-07-27,21796.55,85.54000000000087
djia,2017-07-28,21830.31,33.76000000000204
djia,2017-07-31,21891.12,60.80999999999767
djia,2017-08-01,21963.92,72.79999999999927
djia,2017-08-02,22016.24,52.32000000000335
djia,2017-08-03,22026.1,9.859999999996944
djia,2017-08-04,22092.81,66.71000000000276
djia,2017-08-07,22118.42,25.609999999996944
djia,2017-08-08,22085.34,-33.07999999999811
djia,2017-08-09,22048.7,-36.63999999999942
djia,2017-08-10,21844.01,-204.69000000000233
djia,2017-08-11,21858.32,14.31000000000131
djia,2017-08-14,21993.71,135.38999999999942
djia,2017-08-15,21998.99,5.280000000002474
djia,2017-08-16,22024.87,25.87999999999738
djia,2017-08-17,21750.73,-274.1399999999994
djia,2017-08-18,21674.51,-76.22000000000116
djia,2017-08-21,21703.75,29.2400000000016
djia,2017-08-22,21899.89,196.13999999999942
djia,2017-08-23,21812.09,-87.79999999999927
djia,2017-08-24,21783.4,-28.68999999999869
djia,2017-08-25,21813.67,30.2699999999968
djia,2017-08-28,21808.4,-5.269999999996799
djia,2017-08-29,21865.37,56.969999999997526
djia,2017-08-30,21892.43,27.06000000000131
djia,2017-08-31,21948.1,55.669999999998254
djia,2017-09-01,21987.56,39.460000000002765
djia,2017-09-05,21753.31,-234.25
djia,2017-09-06,21807.64,54.32999999999811
djia,2017-09-07,21784.78,-22.860000000000582
djia,2017-09-08,21797.79,13.010000000002037
djia,2017-09-11,22057.37,259.5799999999981
djia,2017-09-12,22118.86,61.4900000000016
djia,2017-09-13,22158.18,39.31999999999971
djia,2017-09-14,22203.48,45.29999999999927
djia,2017-09-15,22268.34,64.86000000000058
djia,2017-09-18,22331.35,63.0099999999984
djia,2017-09-19,22370.8,39.45000000000073
djia,2017-09-20,22412.59,41.79000000000087
djia,2017-09-21,22359.23,-53.36000000000058
djia,2017-09-22,22349.59,-9.639999999999418
djia,2017-09-25,22296.09,-53.5
djia,2017-09-26,22284.32,-11.770000000000437
djia,2017-09-27,22340.71,56.38999999999942
djia,2017-09-28,22381.2,40.4900000000016
djia,2017-09-29,22405.09,23.889999999999418
djia,2017-10-02,22557.6,152.5099999999984
djia,2017-10-03,22641.67,84.06999999999971
djia,2017-10-04,22661.64,19.970000000001164
djia,2017-10-05,22775.39,113.75
djia,2017-10-06,22773.67,-1.7200000000011642
djia,2017-10-09,22761.07,-12.599999999998545
djia,2017-10-10,22830.68,69.61000000000058
djia,2017-10-11,22872.89,42.20999999999913
djia,2017-10-12,22841.01,-31.88000000000102
djia,2017-10-13,22871.72,30.710000000002765
djia,2017-10-16,22956.96,85.23999999999796
djia,2017-10-17,22997.44,40.47999999999956
djia,2017-10-18,23157.6,160.15999999999985
djia,2017-10-19,23163.04,5.440000000002328
djia,2017-10-20,23328.63,165.59000000000015
djia,2017-10-23,23273.96,-54.67000000000189
djia,2017-10-24,23441.76,167.79999999999927
djia,2017-10-25,23329.46,-112.29999999999927
djia,2017-10-26,23400.86,71.40000000000146
djia,2017-10-27,23434.19,33.32999999999811
djia,2017-10-30,23348.74,-85.44999999999709
djia,2017-10-31,23377.24,28.5
djia,2017-11-01,23435.01,57.7699999999968
djia,2017-11-02,23516.26,81.25
djia,2017-11-03,23539.19,22.93000000000029
djia,2017-11-06,23548.42,9.229999999999563
djia,2017-11-07,23557.23,8.81000000000131
djia,2017-11-08,23563.36,6.130000000001019
djia,2017-11-09,23461.94,-101.42000000000189
djia,2017-11-10,23422.21,-39.72999999999956
djia,2017-11-13,23439.7,17.4900000000016
djia,2017-11-14,23409.47,-30.229999999999563
djia,2017-11-15,23271.28,-138.19000000000233
djia,2017-11-16,23458.36,187.08000000000175
djia,2017-11-17,23358.24,-100.11999999999898
djia,2017-11-20,23430.33,72.09000000000015
djia,2017-11-21,23590.83,160.5
djia,2017-11-22,23526.18,-64.65000000000146
djia,2017-11-24,23557.99,31.81000000000131
djia,2017-11-27,23580.78,22.789999999997235
djia,2017-11-28,23836.71,255.9300000000003
djia,2017-11-29,23940.68,103.97000000000116
djia,2017-11-30,24272.35,331.66999999999825
djia,2017-12-01,24231.59,-40.7599999999984
djia,2017-12-04,24290.05,58.45999999999913
djia,2017-12-05,24180.64,-109.40999999999985
djia,2017-12-06,24140.91,-39.72999999999956
djia,2017-12-07,24211.48,70.56999999999971
djia,2017-12-08,24329.16,117.68000000000029
djia,2017-12-11,24386.03,56.86999999999898
djia,2017-12-12,24504.8,118.77000000000044
djia,2017-12-13,24585.43,80.63000000000102
djia,2017-12-14,24508.66,-76.77000000000044
djia,2017-12-15,24651.74,143.08000000000175
djia,2017-12-18,24792.2,140.45999999999913
djia,2017-12-19,24754.75,-37.45000000000073
djia,2017-12-20,24726.65,-28.099999999998545
djia,2017-12-21,24782.29,55.63999999999942
djia,2017-12-22,24754.06,-28.229999999999563
