Category,DateTime,m0_val,m0_chg,m0_pct
Money Supply M0,1/31/2017,3595500,63900,4.196912808
Money Supply M0,2/28/2017,3746400,150900,4.196912808
Money Supply M0,3/31/2017,3856300,109900,2.93348281
Money Supply M0,4/30/2017,3821700,-34600,-0.897233099
Money Supply M0,5/31/2017,3774400,-47300,-1.2376691
Money Supply M0,6/30/2017,3762800,-11600,-0.307333616
Money Supply M0,7/31/2017,3795400,32600,0.866376103
Money Supply M0,8/31/2017,3910000,114600,3.019444591
Money Supply M0,9/30/2017,3874500,-35500,-0.907928389
Money Supply M0,10/31/2017,3829900,-44600,-1.151116273
Money Supply M0,11/30/2017,3907700,77800,2.031384631
Money Supply M0,12/31/2017,3851000,-56700,-1.450981396
Money Supply M0,1/31/2018,3824800,-26200,-0.680342768
Money Supply M0,2/28/2018,3855100,30300,0.792198285
Money Supply M0,3/31/2018,3800600,-54500,-1.413711707
Money Supply M0,4/30/2018,3727100,-73500,-1.933905173
Money Supply M0,5/31/2018,3674800,-52300,-1.40323576
Money Supply M0,6/30/2018,3650500,-24300,-0.661260477
Money Supply M0,7/31/2018,3618300,-32200,-0.882070949
Money Supply M0,8/31/2018,3584500,-33800,-0.934140342
Money Supply M0,9/30/2018,3559800,-24700,-0.689077975
Money Supply M0,10/31/2018,3520900,-38900,-1.09275802
Money Supply M0,11/30/2018,3476300,-44600,-1.266721577
Money Supply M0,12/31/2018,3400700,-75600,-2.174726002
Money Supply M0,1/31/2019,3346900,-53800,-1.58202723
Money Supply M0,2/28/2019,3353500,6600,0.197197407
Money Supply M0,3/31/2019,3381500,28000,0.834948561
Money Supply M0,4/30/2019,3286700,-94800,-2.803489576
Money Supply M0,5/31/2019,3244500,-42200,-1.283962637
Money Supply M0,6/30/2019,3274800,30300,0.933888118
Money Supply M0,7/31/2019,3260300,-14500,-0.442775131
Money Supply M0,8/31/2019,3271400,11100,0.340459467
Money Supply M0,9/30/2019,3202700,-68700,-2.100018341
Money Supply M0,10/31/2019,3252800,50100,1.564305118
Money Supply M0,11/30/2019,3315600,62800,1.930644368
Money Supply M0,12/31/2019,3426500,110900,3.344794306
Money Supply M0,1/31/2020,3442600,16100,0.469867211
Money Supply M0,2/29/2020,3454500,11900,0.345668971
Money Supply M0,3/31/2020,3883100,428600,12.40700536
Money Supply M0,4/30/2020,4844900,961800,24.76887023
Money Supply M0,5/31/2020,5149400,304500,6.284959442
Money Supply M0,6/30/2020,5001800,-147600,-2.866353362
Money Supply M0,7/31/2020,4700300,-301500,-6.027829981
Money Supply M0,8/31/2020,4807400,107100,2.278577963
Money Supply M0,9/30/2020,4880300,72900,1.516412198
Money Supply M0,10/31/2020,4917100,36800,0.754052005
Money Supply M0,11/30/2020,5093000,175900,3.57731183
Money Supply M0,12/31/2020,5206500,113500,2.228548989
Money Supply M0,1/31/2021,5248000,41500,0.797080572
Money Supply M0,2/28/2021,5446800,198800,3.788109756
Money Supply M0,3/31/2021,5839000,392200,7.200558126
Money Supply M0,4/30/2021,6042100,203100,3.478335331
Money Supply M0,5/31/2021,6041900,-200,-0.003310107
Money Supply M0,6/30/2021,6027100,-14800,-0.244956057
Money Supply M0,7/31/2021,6130300,103200,1.712266264
Money Supply M0,8/31/2021,6328800,198500,3.238014453
Money Supply M0,9/30/2021,6388900,60100,0.949627102
Money Supply M0,10/31/2021,6331000,-57900,-0.906259293
Money Supply M0,11/30/2021,6394800,63800,1.007739694
