Category,DateTime,inf_val,inf_chg,inf_pct
Inflation Rate,1/31/2017,2.5,0,0
Inflation Rate,2/28/2017,2.7,0.2,8
Inflation Rate,3/31/2017,2.4,-0.3,-11.11111111
Inflation Rate,4/30/2017,2.2,-0.2,-8.333333333
Inflation Rate,5/31/2017,1.9,-0.3,-13.63636364
Inflation Rate,6/30/2017,1.6,-0.3,-15.78947368
Inflation Rate,7/31/2017,1.7,0.1,6.25
Inflation Rate,8/31/2017,1.9,0.2,11.76470588
Inflation Rate,9/30/2017,2.2,0.3,15.78947368
Inflation Rate,10/31/2017,2,-0.2,-9.090909091
Inflation Rate,11/30/2017,2.2,0.2,10
Inflation Rate,12/31/2017,2.1,-0.1,-4.545454545
Inflation Rate,1/31/2018,2.1,0,0
Inflation Rate,2/28/2018,2.2,0.1,4.761904762
Inflation Rate,3/31/2018,2.4,0.2,9.090909091
Inflation Rate,4/30/2018,2.5,0.1,4.166666667
Inflation Rate,5/31/2018,2.8,0.3,12
Inflation Rate,6/30/2018,2.9,0.1,3.571428571
Inflation Rate,7/31/2018,2.9,0,0
Inflation Rate,8/31/2018,2.7,-0.2,-6.896551724
Inflation Rate,9/30/2018,2.3,-0.4,-14.81481481
Inflation Rate,10/31/2018,2.5,0.2,8.695652174
Inflation Rate,11/30/2018,2.2,-0.3,-12
Inflation Rate,12/31/2018,1.9,-0.3,-13.63636364
Inflation Rate,1/31/2019,1.6,-0.3,-15.78947368
Inflation Rate,2/28/2019,1.5,-0.1,-6.25
Inflation Rate,3/31/2019,1.9,0.4,26.66666667
Inflation Rate,4/30/2019,2,0.1,5.263157895
Inflation Rate,5/31/2019,1.8,-0.2,-10
Inflation Rate,6/30/2019,1.6,-0.2,-11.11111111
Inflation Rate,7/31/2019,1.8,0.2,12.5
Inflation Rate,8/31/2019,1.7,-0.1,-5.555555556
Inflation Rate,9/30/2019,1.7,0,0
Inflation Rate,10/31/2019,1.8,0.1,5.882352941
Inflation Rate,11/30/2019,2.1,0.3,16.66666667
Inflation Rate,12/31/2019,2.3,0.2,9.523809524
Inflation Rate,1/31/2020,2.5,0.2,8.695652174
Inflation Rate,2/29/2020,2.3,-0.2,-8
Inflation Rate,3/31/2020,1.5,-0.8,-34.7826087
Inflation Rate,4/30/2020,0.3,-1.2,-80
Inflation Rate,5/31/2020,0.1,-0.2,-66.66666667
Inflation Rate,6/30/2020,0.6,0.5,500
Inflation Rate,7/31/2020,1,0.4,66.66666667
Inflation Rate,8/31/2020,1.3,0.3,30
Inflation Rate,9/30/2020,1.4,0.1,7.692307692
Inflation Rate,10/31/2020,1.2,-0.2,-14.28571429
Inflation Rate,11/30/2020,1.2,0,0
Inflation Rate,12/31/2020,1.4,0.2,16.66666667
Inflation Rate,1/31/2021,1.4,0,0
Inflation Rate,2/28/2021,1.7,0.3,21.42857143
Inflation Rate,3/31/2021,2.6,0.9,52.94117647
Inflation Rate,4/30/2021,4.2,1.6,61.53846154
Inflation Rate,5/31/2021,5,0.8,19.04761905
Inflation Rate,6/30/2021,5.4,0.4,8
Inflation Rate,7/31/2021,5.4,0,0
Inflation Rate,8/31/2021,5.3,-0.1,-1.851851852
Inflation Rate,9/30/2021,5.4,0.1,1.886792453
Inflation Rate,10/31/2021,6.2,0.8,14.81481481
Inflation Rate,11/30/2021,6.8,0.6,9.677419355
