Category,DateTime,Value,Value Difference
Money Supply M1,2017-01-31,3398.2,
Money Supply M1,2017-02-28,3411.3,13.100000000000364
Money Supply M1,2017-03-31,3456.2,44.899999999999636
Money Supply M1,2017-04-30,3450.1,-6.099999999999909
Money Supply M1,2017-05-31,3512.8,62.70000000000027
Money Supply M1,2017-06-30,3520.9,8.099999999999909
Money Supply M1,2017-07-31,3541.8,20.90000000000009
Money Supply M1,2017-08-31,3580.3,38.5
Money Supply M1,2017-09-30,3563.4,-16.90000000000009
Money Supply M1,2017-10-31,3601.2,37.79999999999973
Money Supply M1,2017-11-30,3631.9,30.700000000000273
Money Supply M1,2017-12-31,3618.9,-13.0
Money Supply M1,2018-01-31,3668.4,49.5
Money Supply M1,2018-02-28,3633.9,-34.5
Money Supply M1,2018-03-31,3672.5,38.59999999999991
Money Supply M1,2018-04-30,3653.6,-18.90000000000009
Money Supply M1,2018-05-31,3646.2,-7.400000000000091
Money Supply M1,2018-06-30,3644.7,-1.5
Money Supply M1,2018-07-31,3669.2,24.5
Money Supply M1,2018-08-31,3682.7,13.5
Money Supply M1,2018-09-30,3692.3,9.600000000000364
Money Supply M1,2018-10-31,3721.5,29.199999999999818
Money Supply M1,2018-11-30,3708.4,-13.099999999999909
Money Supply M1,2018-12-31,3771.2,62.79999999999973
Money Supply M1,2019-01-31,3772.9,1.7000000000002728
Money Supply M1,2019-02-28,3783.4,10.5
Money Supply M1,2019-03-31,3746.4,-37.0
Money Supply M1,2019-04-30,3770.6,24.199999999999818
Money Supply M1,2019-05-31,3775.4,4.800000000000182
Money Supply M1,2019-06-30,3813.4,38.0
Money Supply M1,2019-07-31,3844.8,31.40000000000009
Money Supply M1,2019-08-31,3844.0,-0.8000000000001819
Money Supply M1,2019-09-30,3887.7,43.69999999999982
Money Supply M1,2019-10-31,3926.1,38.40000000000009
Money Supply M1,2019-11-30,3955.6,29.5
Money Supply M1,2019-12-31,4011.2,55.59999999999991
Money Supply M1,2020-01-31,4019.2,8.0
Money Supply M1,2020-02-29,4028.4,9.200000000000273
Money Supply M1,2020-03-31,4281.3,252.9000000000001
Money Supply M1,2020-04-30,4774.4,493.09999999999945
Money Supply M1,2020-05-31,16262.0,11487.6
Money Supply M1,2020-06-30,16583.8,321.7999999999993
Money Supply M1,2020-07-31,16773.8,190.0
Money Supply M1,2020-08-31,16887.0,113.20000000000073
Money Supply M1,2020-09-30,17156.8,269.7999999999993
Money Supply M1,2020-10-31,17346.8,190.0
Money Supply M1,2020-11-30,17589.1,242.29999999999927
Money Supply M1,2020-12-31,17812.4,223.3000000000029
Money Supply M1,2021-01-31,18100.6,288.1999999999971
Money Supply M1,2021-02-28,18389.4,288.8000000000029
Money Supply M1,2021-03-31,18669.4,280.0
Money Supply M1,2021-04-30,18915.7,246.29999999999927
Money Supply M1,2021-05-31,19192.9,277.2000000000007
Money Supply M1,2021-06-30,19238.2,45.29999999999927
Money Supply M1,2021-07-31,19401.7,163.5
Money Supply M1,2021-08-31,19677.7,276.0
Money Supply M1,2021-09-30,19862.2,184.5
Money Supply M1,2021-10-31,20083.1,220.89999999999782
Money Supply M1,2021-11-30,20345.0,261.90000000000146
