DATE,value
7/1/2016,1549830
8/1/2016,1549040
9/1/2016,1530171
10/1/2016,1490405
11/1/2016,1419028
12/1/2016,1308339
1/1/2017,1221101
2/1/2017,1218559
3/1/2017,1239700
4/1/2017,1262588
5/1/2017,1322569
6/1/2017,1363005
7/1/2017,1396513
8/1/2017,1435655
9/1/2017,1413816
10/1/2017,1393690
11/1/2017,1328836
12/1/2017,1219598
1/1/2018,1129765
2/1/2018,1130608
3/1/2018,1151862
4/1/2018,1193080
5/1/2018,1254086
6/1/2018,1320045
7/1/2018,1367969
8/1/2018,1392669
9/1/2018,1416029
10/1/2018,1416319
11/1/2018,1382050
12/1/2018,1288587
1/1/2019,1204689
2/1/2019,1195248
3/1/2019,1207857
4/1/2019,1232130
5/1/2019,1278895
6/1/2019,1324118
7/1/2019,1345333
8/1/2019,1332749
9/1/2019,1316825
10/1/2019,1310899
11/1/2019,1244837
12/1/2019,1125557
1/1/2020,1032583
2/1/2020,1006205
3/1/2020,1012439
4/1/2020,1024443
5/1/2020,1003219
6/1/2020,939748
7/1/2020,886577
8/1/2020,839770
9/1/2020,806132
10/1/2020,789248
11/1/2020,747839
12/1/2020,660335
1/1/2021,571491
2/1/2021,497753
3/1/2021,471119
4/1/2021,465964
5/1/2021,477951
6/1/2021,521723
7/1/2021,571731
8/1/2021,615621
9/1/2021,621196
10/1/2021,611928
11/1/2021,553510
12/1/2021,483266
