Date,Open,High,Low,Close
Dec-17,"2,645.10","2,694.97","2,605.52","2,673.61"
Nov-17,"2,583.21","2,657.74","2,557.45","2,647.58"
Oct-17,"2,521.20","2,582.98","2,520.40","2,575.26"
Sep-17,"2,474.42","2,519.44","2,446.55","2,519.36"
Aug-17,"2,477.10","2,490.87","2,417.35","2,471.65"
Jul-17,"2,431.39","2,484.04","2,407.70","2,470.30"
Jun-17,"2,415.65","2,453.82","2,405.70","2,423.41"
May-17,"2,388.50","2,418.71","2,352.72","2,411.80"
Apr-17,"2,362.34","2,398.16","2,328.95","2,384.20"
Mar-17,"2,380.13","2,400.98","2,322.25","2,362.72"
Feb-17,"2,285.59","2,371.54","2,271.65","2,363.64"
Jan-17,"2,251.57","2,300.99","2,245.13","2,278.87"
