Date,Open,High,Low,Close
Dec-20,"3,645.87","3,760.20","3,633.40","3,756.07"
Nov-20,"3,296.20","3,645.99","3,279.74","3,621.63"
Oct-20,"3,385.87","3,549.85","3,233.94","3,269.96"
Sep-20,"3,507.44","3,588.11","3,209.45","3,363.00"
Aug-20,"3,288.26","3,514.77","3,284.53","3,500.31"
Jul-20,"3,105.92","3,279.99","3,101.17","3,271.12"
Jun-20,"3,038.78","3,233.13","2,965.66","3,100.29"
May-20,"2,869.09","3,068.67","2,766.64","3,044.31"
Apr-20,"2,498.08","2,954.86","2,447.49","2,912.43"
Mar-20,"2,974.28","3,136.72","2,191.86","2,584.59"
Feb-20,"3,235.66","3,393.52","2,855.84","2,954.22"
Jan-20,"3,244.67","3,337.77","3,214.64","3,225.52"
