Category,DateTime,Value,Value Difference
Unemployment Rate,2017-01-31,4.7,
Unemployment Rate,2017-02-28,4.6,-0.10000000000000053
Unemployment Rate,2017-03-31,4.4,-0.1999999999999993
Unemployment Rate,2017-04-30,4.4,0.0
Unemployment Rate,2017-05-31,4.4,0.0
Unemployment Rate,2017-06-30,4.3,-0.10000000000000053
Unemployment Rate,2017-07-31,4.3,0.0
Unemployment Rate,2017-08-31,4.4,0.10000000000000053
Unemployment Rate,2017-09-30,4.3,-0.10000000000000053
Unemployment Rate,2017-10-31,4.2,-0.09999999999999964
Unemployment Rate,2017-11-30,4.2,0.0
Unemployment Rate,2017-12-31,4.1,-0.10000000000000053
Unemployment Rate,2018-01-31,4.0,-0.09999999999999964
Unemployment Rate,2018-02-28,4.1,0.09999999999999964
Unemployment Rate,2018-03-31,4.0,-0.09999999999999964
Unemployment Rate,2018-04-30,4.0,0.0
Unemployment Rate,2018-05-31,3.8,-0.20000000000000018
Unemployment Rate,2018-06-30,4.0,0.20000000000000018
Unemployment Rate,2018-07-31,3.8,-0.20000000000000018
Unemployment Rate,2018-08-31,3.8,0.0
Unemployment Rate,2018-09-30,3.7,-0.09999999999999964
Unemployment Rate,2018-10-31,3.8,0.09999999999999964
Unemployment Rate,2018-11-30,3.8,0.0
Unemployment Rate,2018-12-31,3.9,0.10000000000000009
Unemployment Rate,2019-01-31,4.0,0.10000000000000009
Unemployment Rate,2019-02-28,3.8,-0.20000000000000018
Unemployment Rate,2019-03-31,3.8,0.0
Unemployment Rate,2019-04-30,3.6,-0.19999999999999973
Unemployment Rate,2019-05-31,3.6,0.0
Unemployment Rate,2019-06-30,3.6,0.0
Unemployment Rate,2019-07-31,3.7,0.10000000000000009
Unemployment Rate,2019-08-31,3.7,0.0
Unemployment Rate,2019-09-30,3.5,-0.20000000000000018
Unemployment Rate,2019-10-31,3.6,0.10000000000000009
Unemployment Rate,2019-11-30,3.6,0.0
Unemployment Rate,2019-12-31,3.6,0.0
Unemployment Rate,2020-01-31,3.5,-0.10000000000000009
Unemployment Rate,2020-02-29,3.5,0.0
Unemployment Rate,2020-03-31,4.4,0.9000000000000004
Unemployment Rate,2020-04-30,14.7,10.299999999999999
Unemployment Rate,2020-05-31,13.2,-1.5
Unemployment Rate,2020-06-30,11.0,-2.1999999999999993
Unemployment Rate,2020-07-31,10.2,-0.8000000000000007
Unemployment Rate,2020-08-31,8.4,-1.799999999999999
Unemployment Rate,2020-09-30,7.9,-0.5
Unemployment Rate,2020-10-31,6.9,-1.0
Unemployment Rate,2020-11-30,6.7,-0.20000000000000018
Unemployment Rate,2020-12-31,6.7,0.0
Unemployment Rate,2021-01-31,6.4,-0.2999999999999998
Unemployment Rate,2021-02-28,6.2,-0.20000000000000018
Unemployment Rate,2021-03-31,6.0,-0.20000000000000018
Unemployment Rate,2021-04-30,6.0,0.0
Unemployment Rate,2021-05-31,5.8,-0.20000000000000018
Unemployment Rate,2021-06-30,5.9,0.10000000000000053
Unemployment Rate,2021-07-31,5.4,-0.5
Unemployment Rate,2021-08-31,5.2,-0.20000000000000018
Unemployment Rate,2021-09-30,4.7,-0.5
Unemployment Rate,2021-10-31,4.6,-0.10000000000000053
Unemployment Rate,2021-11-30,4.2,-0.39999999999999947
Unemployment Rate,2021-12-31,3.9,-0.30000000000000027
