+----------------------+------+--------+-------+--------------+
|      series id       | year | period | value |  footnotes   |
+----------------------+------+--------+-------+--------------+
| LAUCN131210000000003 | 2021 |  M11   |  2.5  | Preliminary. |
| LAUCN131210000000003 | 2021 |  M10   |  2.8  |              |
| LAUCN131210000000003 | 2021 |  M09   |  3.0  |              |
| LAUCN131210000000003 | 2021 |  M08   |  3.7  |              |
| LAUCN131210000000003 | 2021 |  M07   |  3.9  |              |
| LAUCN131210000000003 | 2021 |  M06   |  5.4  |              |
| LAUCN131210000000003 | 2021 |  M05   |  4.8  |              |
| LAUCN131210000000003 | 2021 |  M04   |  4.7  |              |
| LAUCN131210000000003 | 2021 |  M03   |  4.9  |              |
| LAUCN131210000000003 | 2021 |  M02   |  5.4  |              |
| LAUCN131210000000003 | 2021 |  M01   |  6.1  |              |
| LAUCN131210000000003 | 2020 |  M12   |  6.9  |              |
| LAUCN131210000000003 | 2020 |  M11   |  6.9  |              |
| LAUCN131210000000003 | 2020 |  M10   |  7.0  |              |
| LAUCN131210000000003 | 2020 |  M09   |  8.5  |              |
| LAUCN131210000000003 | 2020 |  M08   |  9.2  |              |
| LAUCN131210000000003 | 2020 |  M07   |  10.4 |              |
| LAUCN131210000000003 | 2020 |  M06   |  11.1 |              |
| LAUCN131210000000003 | 2020 |  M05   |  11.6 |              |
| LAUCN131210000000003 | 2020 |  M04   |  13.8 |              |
| LAUCN131210000000003 | 2020 |  M03   |  4.1  |              |
| LAUCN131210000000003 | 2020 |  M02   |  3.5  |              |
| LAUCN131210000000003 | 2020 |  M01   |  3.6  |              |
| LAUCN131210000000003 | 2019 |  M12   |  3.1  |              |
| LAUCN131210000000003 | 2019 |  M11   |  3.0  |              |
| LAUCN131210000000003 | 2019 |  M10   |  3.3  |              |
| LAUCN131210000000003 | 2019 |  M09   |  3.3  |              |
| LAUCN131210000000003 | 2019 |  M08   |  3.8  |              |
| LAUCN131210000000003 | 2019 |  M07   |  3.9  |              |
| LAUCN131210000000003 | 2019 |  M06   |  3.9  |              |
| LAUCN131210000000003 | 2019 |  M05   |  3.6  |              |
| LAUCN131210000000003 | 2019 |  M04   |  3.3  |              |
| LAUCN131210000000003 | 2019 |  M03   |  3.8  |              |
| LAUCN131210000000003 | 2019 |  M02   |  3.9  |              |
| LAUCN131210000000003 | 2019 |  M01   |  4.3  |              |
| LAUCN131210000000003 | 2018 |  M12   |  3.9  |              |
| LAUCN131210000000003 | 2018 |  M11   |  3.6  |              |
| LAUCN131210000000003 | 2018 |  M10   |  3.8  |              |
| LAUCN131210000000003 | 2018 |  M09   |  3.7  |              |
| LAUCN131210000000003 | 2018 |  M08   |  4.2  |              |
| LAUCN131210000000003 | 2018 |  M07   |  4.3  |              |
| LAUCN131210000000003 | 2018 |  M06   |  4.5  |              |
| LAUCN131210000000003 | 2018 |  M05   |  3.9  |              |
| LAUCN131210000000003 | 2018 |  M04   |  4.0  |              |
| LAUCN131210000000003 | 2018 |  M03   |  4.3  |              |
| LAUCN131210000000003 | 2018 |  M02   |  4.6  |              |
| LAUCN131210000000003 | 2018 |  M01   |  4.6  |              |
| LAUCN131210000000003 | 2017 |  M12   |  4.4  |              |
| LAUCN131210000000003 | 2017 |  M11   |  4.3  |              |
| LAUCN131210000000003 | 2017 |  M10   |  4.5  |              |
| LAUCN131210000000003 | 2017 |  M09   |  4.5  |              |
| LAUCN131210000000003 | 2017 |  M08   |  5.1  |              |
| LAUCN131210000000003 | 2017 |  M07   |  5.1  |              |
| LAUCN131210000000003 | 2017 |  M06   |  5.2  |              |
| LAUCN131210000000003 | 2017 |  M05   |  4.9  |              |
| LAUCN131210000000003 | 2017 |  M04   |  4.8  |              |
| LAUCN131210000000003 | 2017 |  M03   |  5.1  |              |
| LAUCN131210000000003 | 2017 |  M02   |  5.3  |              |
| LAUCN131210000000003 | 2017 |  M01   |  5.5  |              |
| LAUCN131210000000003 | 2016 |  M12   |  5.2  |              |
| LAUCN131210000000003 | 2016 |  M11   |  5.0  |              |
| LAUCN131210000000003 | 2016 |  M10   |  5.3  |              |
| LAUCN131210000000003 | 2016 |  M09   |  5.4  |              |
