month,m0_val,m0_chg,m0_pct,m1_val,m1_chg,m1_pct,m2_val,m2_chg,m2_pct,djia_val,djia_chg,djia_pct,sp_open,sp_hi,sp_lo,sp_close,sp_chg,sp_pct,nasd_val,nasd_chg,nasd_pct
2017-01,3595500,63900,4.196912808,3398.2,52.8,0.385498205,13275.4,76.5,0.494900342,19908.1525,515.9917105,2.591861352,"2,645.10","2,694.97","2,605.52","2,673.61",-26.03,-0.973590015,5854.296524,590.2376108,11.21259508
2017-02,3746400,150900,4.196912808,3411.3,13.1,0.385498205,13341.1,65.7,0.494900342,20424.14421,515.9917105,2.591861352,"2,583.21","2,657.74","2,557.45","2,647.58",-26.03,-0.973590015,5946.851474,92.55494987,1.580974751
2017-03,3856300,109900,2.93348281,3456.2,44.9,1.31621376,13411.4,70.3,0.526943056,20823.05783,398.9136156,1.953147272,"2,521.20","2,582.98","2,520.40","2,575.26",-72.32,-2.731551077,5946.556542,-0.294932018,-0.004959465
2017-04,3821700,-34600,-0.897233099,3450.1,-6.1,-0.176494416,13476.8,65.4,0.487644839,20684.69368,-138.3641419,-0.664475617,"2,474.42","2,519.44","2,446.55","2,519.36",-55.9,-2.170654614,6026.195765,79.63922304,1.339249404
2017-05,3774400,-47300,-1.2376691,3512.8,62.7,1.817338628,13530.5,53.7,0.398462543,20936.81136,252.1176794,1.218861073,"2,477.10","2,490.87","2,417.35","2,471.65",-47.71,-1.893734917,6167.2488,141.0530353,2.340664671
2017-06,3762800,-11600,-0.307333616,3520.9,8.1,0.230585288,13558.2,27.7,0.204722664,21317.79545,380.9840909,1.819685358,"2,431.39","2,484.04","2,407.70","2,470.30",-1.35,-0.054619384,6192.998667,25.74986667,0.417525991
2017-07,3795400,32600,0.866376103,3541.8,20.9,0.593598228,13618.3,60.1,0.443274181,21581.251,263.4555455,1.235847984,"2,415.65","2,453.82","2,405.70","2,423.41",-46.89,-1.898150022,6316.265136,123.2664697,1.990416539
2017-08,3910000,114600,3.019444591,3580.3,38.5,1.087017901,13673.8,55.5,0.407539854,21914.07696,332.8259565,1.542199553,"2,388.50","2,418.71","2,352.72","2,411.80",-11.61,-0.479077003,6294.042182,-22.22295455,-0.351836949
2017-09,3874500,-35500,-0.907928389,3563.4,-16.9,-0.472027484,13716.4,42.6,0.311544706,22173.414,259.3370435,1.183426726,"2,362.34","2,398.16","2,328.95","2,384.20",-27.6,-1.144373497,6324.248381,30.20619913,0.479917329
2017-10,3829900,-44600,-1.151116273,3601.2,37.8,1.060784644,13769,52.6,0.383482546,23036.23727,862.8232727,3.891251355,"2,380.13","2,400.98","2,322.25","2,362.72",-21.48,-0.90093113,6410.673409,86.42502814,1.366566
2017-11,3907700,77800,2.031384631,3631.9,30.7,0.852493613,13794,25,0.181567289,23557.92952,521.6922511,2.264659132,"2,285.59","2,371.54","2,271.65","2,363.64",0.92,0.038938173,6599.230762,188.5573528,2.941303367
2017-12,3851000,-56700,-1.450981396,3618.9,-13,-0.357939371,13835.7,41.7,0.30230535,24545.384,987.4544762,4.191601283,"2,251.57","2,300.99","2,245.13","2,278.87",-84.77,-3.586417559,6654.6278,55.3970381,0.839446901
2018-01,3824800,-26200,-0.680342768,3668.4,49.5,1.367818951,13858.4,22.7,0.164068316,25804.01762,1258.633619,5.127781334,"2,790.50","2,800.18","2,346.58","2,506.85",227.98,10.00408097,7452.635905,798.0081048,11.99177668
2018-02,3855100,30300,0.792198285,3633.9,-34.5,-0.940464508,13892.8,34.4,0.248224903,24981.54526,-822.4723559,-3.187381004,"2,717.58","2,815.15","2,631.09","2,760.17",253.32,10.10511199,7306.468095,-146.1678095,-1.961290091
2018-03,3800600,-54500,-1.413711707,3672.5,38.6,1.062219654,13952.6,59.8,0.430438788,24582.17048,-399.374787,-1.598679276,"2,926.29","2,939.86","2,603.54","2,711.74",-48.43,-1.754602072,7315.1498,8.681704762,0.118822181
2018-04,3727100,-73500,-1.933905173,3653.6,-18.9,-0.514635807,13989.1,36.5,0.261599989,24304.21286,-277.957619,-1.130728547,"2,896.96","2,940.91","2,864.12","2,913.98",202.24,7.457942133,7287.993048,-27.15675238,-0.371239867
2018-05,3674800,-52300,-1.40323576,3646.2,-7.4,-0.202539961,14054.9,65.8,0.470366214,24572.53227,268.3194156,1.104003726,"2,821.17","2,916.50","2,796.34","2,901.52",-12.46,-0.427593875,7402.02652,114.0334724,1.564675922
2018-06,3650500,-24300,-0.661260477,3644.7,-1.5,-0.04113872,14120,65.1,0.463183658,24790.1081,217.5758225,0.885443226,"2,704.95","2,848.03","2,698.95","2,816.29",-85.23,-2.937425901,7587.727731,185.7012108,2.508788779
2018-07,3618300,-32200,-0.882070949,3669.2,24.5,0.672208961,14153,33,0.233711048,24978.23143,188.1233333,0.758864514,"2,718.70","2,791.47","2,691.99","2,718.37",-97.92,-3.476914664,7689.6054,101.8776692,1.342663744
2018-08,3584500,-33800,-0.934140342,3682.7,13.5,0.367927614,14197,44,0.310888151,25629.98826,651.7568323,2.609299358,"2,643.64","2,742.24","2,594.62","2,705.27",-13.1,-0.481906437,7730.708538,41.10313846,0.534528579
2018-09,3559800,-24700,-0.689077975,3692.3,9.6,0.260678307,14228.5,31.5,0.221877862,26232.66789,602.6796339,2.351462778,"2,633.45","2,717.49","2,553.80","2,648.05",-57.22,-2.115130837,7771.64704,40.93850154,0.529556914
2018-10,3520900,-38900,-1.09275802,3721.5,29.2,0.790834981,14235.4,6.9,0.048494219,25609.34174,-623.3261556,-2.37614473,"2,715.22","2,801.90","2,585.89","2,640.87",-7.18,-0.271142916,7392.35916,-379.28788,-4.880405377
2018-11,3476300,-44600,-1.266721577,3708.4,-13.1,-0.352008599,14245.4,10,0.070247411,25258.67524,-350.666501,-1.369291349,"2,816.45","2,835.96","2,532.69","2,713.83",72.96,2.76272592,7245.77108,-146.58808,-1.982967505
2018-12,3400700,-75600,-2.174726002,3771.2,62.8,1.693452702,14351.8,106.4,0.746907774,23805.54526,-1453.129975,-5.75299362,"2,683.73","2,872.87","2,682.36","2,823.81",109.98,4.052575143,6991.685625,-254.085455,-3.506672405
2019-01,3346900,-53800,-1.58202723,3772.9,1.7,0.04507849,14434.6,82.8,0.576931117,24157.79524,352.2499749,1.479697151,"3,143.85","3,247.93","3,070.33","3,230.78",406.97,14.41208863,7395.452857,403.7672321,5.774962631
2019-02,3353500,6600,0.197197407,3783.4,10.5,0.278300512,14464.4,29.8,0.206448395,25605.52684,1447.731604,5.992813457,"3,050.72","3,154.26","3,050.72","3,140.98",-89.8,-2.779514544,7638.412611,242.959754,3.28525864
2019-03,3381500,28000,0.834948561,3746.4,-37,-0.977956336,14511.8,47.4,0.327701114,25722.62095,117.0941103,0.457300141,"2,983.69","3,050.10","2,855.94","3,037.56",-103.42,-3.292602946,7727.436,89.02338889,1.165469757
2019-04,3286700,-94800,-2.803489576,3770.6,24.2,0.645953449,14558.3,46.5,0.320428892,26401.57714,678.9561905,2.639529587,"2,909.01","3,021.99","2,891.85","2,976.74",-60.82,-2.002264976,7941.47381,214.0378095,2.769842539
2019-05,3244500,-42200,-1.283962637,3775.4,4.8,0.127300695,14653.2,94.9,0.651861825,25744.78864,-656.7885065,-2.487686637,"2,980.32","3,013.59","2,822.12","2,926.46",-50.28,-1.689096125,7786.974217,-154.4995921,-1.945477576
2019-06,3274800,30300,0.933888118,3813.4,38,1.006515866,14780.7,127.5,0.870117108,26160.101,415.3123636,1.61319003,"2,971.41","3,027.98","2,952.22","2,980.38",53.92,1.842499129,7945.04955,158.0753326,2.029996867
2019-07,3260300,-14500,-0.442775131,3844.8,31.4,0.823412178,14859.9,79.2,0.535833891,27089.18682,929.0858182,3.551537581,"2,751.53","2,964.15","2,728.81","2,941.76",-38.62,-1.295807917,8057.153773,112.1042227,1.410994633
2019-08,3271400,11100,0.340459467,3844,-0.8,-0.020807324,14931.2,71.3,0.479814804,26058.225,-1030.961818,-3.805805708,"2,952.33","2,954.13","2,750.52","2,752.06",-189.7,-6.448520614,7851.245696,-205.9080771,-2.555593239
2019-09,3202700,-68700,-2.100018341,3887.7,43.7,1.136836629,15020.8,89.6,0.600085727,26900.214,841.989,3.231183244,"2,848.63","2,949.52","2,848.63","2,945.83",193.77,7.040907538,8053.021095,201.7753996,2.569979433
2019-10,3252800,50100,1.564305118,3926.1,38.4,0.987730535,15153.1,132.3,0.880778654,26736.79609,-163.417913,-0.607496703,"2,798.22","2,860.31","2,722.27","2,834.40",-111.43,-3.782635115,8096.6895,43.66840476,0.54226115
2019-11,3315600,62800,1.930644368,3955.6,29.5,0.751381778,15251.3,98.2,0.648052214,27797.046,1060.249913,3.965508469,"2,702.32","2,813.49","2,681.83","2,784.49",-49.91,-1.760866497,8323.317615,226.6281154,2.799021938
2019-12,3426500,110900,3.344794306,4011.2,55.6,1.405602184,15325.8,74.5,0.488482949,28167.00571,369.9597143,1.330931763,"2,476.96","2,708.95","2,443.96","2,704.10",-80.39,-2.887063699,8560.346522,237.0289064,2.847769571
2020-01,3442600,16100,0.469867211,4019.2,8,0.199441564,15406.8,81,0.528520534,28879.99429,712.9885714,2.531289902,"3,645.87","3,760.20","3,633.40","3,756.07","1,051.97",38.90277726,9530.276124,969.9296023,11.33049462
2020-02,3454500,11900,0.345668971,4028.4,9.2,0.228901274,15470.4,63.6,0.412804736,28519.73158,-360.2627068,-1.247447292,"3,296.20","3,645.99","3,279.74","3,621.63",-134.44,-3.579273017,9720.924733,190.6486093,2.000452105
2020-03,3883100,428600,12.40700536,4281.3,252.9,6.27792672,16011.4,541,3.497000724,22637.42091,-5882.31067,-20.62540685,"3,385.87","3,549.85","3,233.94","3,269.96",-351.67,-9.710268581,8441.600264,-1279.32447,-13.16052232
2020-04,4844900,961800,24.76887023,4774.4,493.1,11.51752972,17039.1,1027.7,6.418551782,23293.9,656.4790909,2.899972985,"3,507.44","3,588.11","3,209.45","3,363.00",93.04,2.845294744,9218.142761,776.5424972,9.198996316
2020-05,5149400,304500,6.284959442,16262,11487.6,240.608244,17889.2,850.1,4.989113275,24271.0215,977.1215,4.194752703,"3,288.26","3,514.77","3,284.53","3,500.31",137.31,4.082961641,9575.281768,357.1390076,3.874305452
2020-06,5001800,-147600,-2.866353362,16583.8,321.8,1.97884639,18175.7,286.5,1.601524942,26062.27,1791.2485,7.380194113,"3,105.92","3,279.99","3,101.17","3,271.12",-229.19,-6.547705775,9895.436333,320.1545649,3.343552416
2020-07,4700300,-301500,-6.027829981,16773.8,190,1.145696403,18316.6,140.9,0.775210858,26385.83091,323.5609091,1.241491662,"3,038.78","3,233.13","2,965.66","3,100.29",-170.83,-5.22237032,10386.73608,491.2997449,4.964912394
