Country,Category,DateTime,Value,Difference
United States,Interest Rate,2017-01-31,0.75,0.0
United States,Interest Rate,2017-02-01,0.75,0.0
United States,Interest Rate,2017-03-15,1.0,0.25
United States,Interest Rate,2017-04-30,1.0,0.0
United States,Interest Rate,2017-05-03,1.0,0.0
United States,Interest Rate,2017-06-14,1.25,0.25
United States,Interest Rate,2017-07-26,1.25,0.0
United States,Interest Rate,2017-08-31,1.25,0.0
United States,Interest Rate,2017-09-20,1.25,0.0
United States,Interest Rate,2017-10-31,1.25,0.0
United States,Interest Rate,2017-11-01,1.25,0.0
United States,Interest Rate,2017-12-13,1.5,0.25
United States,Interest Rate,2018-01-31,1.5,0.0
United States,Interest Rate,2018-02-28,1.5,0.0
United States,Interest Rate,2018-03-21,1.75,0.25
United States,Interest Rate,2018-04-30,1.75,0.0
United States,Interest Rate,2018-05-02,1.75,0.0
United States,Interest Rate,2018-06-13,2.0,0.25
United States,Interest Rate,2018-07-31,2.0,0.0
United States,Interest Rate,2018-08-01,2.0,0.0
United States,Interest Rate,2018-09-26,2.25,0.25
United States,Interest Rate,2018-10-31,2.25,0.0
United States,Interest Rate,2018-11-08,2.25,0.0
United States,Interest Rate,2018-12-19,2.5,0.25
United States,Interest Rate,2019-01-30,2.5,0.0
United States,Interest Rate,2019-02-28,2.5,0.0
United States,Interest Rate,2019-03-20,2.5,0.0
United States,Interest Rate,2019-04-30,2.5,0.0
United States,Interest Rate,2019-05-01,2.5,0.0
United States,Interest Rate,2019-06-19,2.5,0.0
United States,Interest Rate,2019-07-31,2.25,-0.25
United States,Interest Rate,2019-08-31,2.25,0.0
United States,Interest Rate,2019-09-18,2.0,-0.25
United States,Interest Rate,2019-10-30,1.75,-0.25
United States,Interest Rate,2019-11-30,1.75,0.0
United States,Interest Rate,2019-12-11,1.75,0.0
United States,Interest Rate,2020-01-29,1.75,0.0
United States,Interest Rate,2020-02-29,1.75,0.0
United States,Interest Rate,2020-03-03,1.25,-0.5
United States,Interest Rate,2020-03-15,0.25,-1.0
United States,Interest Rate,2020-04-29,0.25,0.0
United States,Interest Rate,2020-05-31,0.25,0.0
United States,Interest Rate,2020-06-10,0.25,0.0
United States,Interest Rate,2020-07-29,0.25,0.0
United States,Interest Rate,2020-08-31,0.25,0.0
United States,Interest Rate,2020-09-16,0.25,0.0
United States,Interest Rate,2020-10-31,0.25,0.0
United States,Interest Rate,2020-11-05,0.25,0.0
United States,Interest Rate,2020-12-16,0.25,0.0
United States,Interest Rate,2021-01-27,0.25,0.0
United States,Interest Rate,2021-02-28,0.25,0.0
United States,Interest Rate,2021-03-17,0.25,0.0
United States,Interest Rate,2021-04-28,0.25,0.0
United States,Interest Rate,2021-05-31,0.25,0.0
United States,Interest Rate,2021-06-16,0.25,0.0
United States,Interest Rate,2021-07-28,0.25,0.0
United States,Interest Rate,2021-08-31,0.25,0.0
United States,Interest Rate,2021-09-22,0.25,0.0
United States,Interest Rate,2021-10-31,0.25,0.0
United States,Interest Rate,2021-11-03,0.25,0.0
United States,Interest Rate,2021-12-15,0.25,0.0
