Date,Open,High,Low,Close
Dec-17,"2,645.10","2,694.97","2,605.52","2,673.61"
Nov-17,"2,583.21","2,657.74","2,557.45","2,647.58"
Oct-17,"2,521.20","2,582.98","2,520.40","2,575.26"
Sep-17,"2,474.42","2,519.44","2,446.55","2,519.36"
Aug-17,"2,477.10","2,490.87","2,417.35","2,471.65"
Jul-17,"2,431.39","2,484.04","2,407.70","2,470.30"
Jun-17,"2,415.65","2,453.82","2,405.70","2,423.41"
May-17,"2,388.50","2,418.71","2,352.72","2,411.80"
Apr-17,"2,362.34","2,398.16","2,328.95","2,384.20"
Mar-17,"2,380.13","2,400.98","2,322.25","2,362.72"
Feb-17,"2,285.59","2,371.54","2,271.65","2,363.64"
Jan-17,"2,251.57","2,300.99","2,245.13","2,278.87"
Dec-18,"2,790.50","2,800.18","2,346.58","2,506.85"
Nov-18,"2,717.58","2,815.15","2,631.09","2,760.17"
Oct-18,"2,926.29","2,939.86","2,603.54","2,711.74"
Sep-18,"2,896.96","2,940.91","2,864.12","2,913.98"
Aug-18,"2,821.17","2,916.50","2,796.34","2,901.52"
Jul-18,"2,704.95","2,848.03","2,698.95","2,816.29"
Jun-18,"2,718.70","2,791.47","2,691.99","2,718.37"
May-18,"2,643.64","2,742.24","2,594.62","2,705.27"
Apr-18,"2,633.45","2,717.49","2,553.80","2,648.05"
Mar-18,"2,715.22","2,801.90","2,585.89","2,640.87"
Feb-18,"2,816.45","2,835.96","2,532.69","2,713.83"
Jan-18,"2,683.73","2,872.87","2,682.36","2,823.81"
Dec-19,"3,143.85","3,247.93","3,070.33","3,230.78"
Nov-19,"3,050.72","3,154.26","3,050.72","3,140.98"
Oct-19,"2,983.69","3,050.10","2,855.94","3,037.56"
Sep-19,"2,909.01","3,021.99","2,891.85","2,976.74"
Aug-19,"2,980.32","3,013.59","2,822.12","2,926.46"
Jul-19,"2,971.41","3,027.98","2,952.22","2,980.38"
Jun-19,"2,751.53","2,964.15","2,728.81","2,941.76"
May-19,"2,952.33","2,954.13","2,750.52","2,752.06"
Apr-19,"2,848.63","2,949.52","2,848.63","2,945.83"
Mar-19,"2,798.22","2,860.31","2,722.27","2,834.40"
Feb-19,"2,702.32","2,813.49","2,681.83","2,784.49"
Jan-19,"2,476.96","2,708.95","2,443.96","2,704.10"
Dec-20,"3,645.87","3,760.20","3,633.40","3,756.07"
Nov-20,"3,296.20","3,645.99","3,279.74","3,621.63"
Oct-20,"3,385.87","3,549.85","3,233.94","3,269.96"
Sep-20,"3,507.44","3,588.11","3,209.45","3,363.00"
Aug-20,"3,288.26","3,514.77","3,284.53","3,500.31"
Jul-20,"3,105.92","3,279.99","3,101.17","3,271.12"
Jun-20,"3,038.78","3,233.13","2,965.66","3,100.29"
May-20,"2,869.09","3,068.67","2,766.64","3,044.31"
Apr-20,"2,498.08","2,954.86","2,447.49","2,912.43"
Mar-20,"2,974.28","3,136.72","2,191.86","2,584.59"
Feb-20,"3,235.66","3,393.52","2,855.84","2,954.22"
Jan-20,"3,244.67","3,337.77","3,214.64","3,225.52"
Dec-21,"4,602.82","4,808.93","4,495.12","4,766.18"
Nov-21,"4,610.62","4,743.83","4,560.00","4,567.00"
Oct-21,"4,317.16","4,608.08","4,278.94","4,605.38"
Sep-21,"4,528.80","4,545.85","4,305.91","4,307.54"
Aug-21,"4,406.86","4,537.36","4,367.73","4,522.68"
Jul-21,"4,300.73","4,429.97","4,233.13","4,395.26"
Jun-21,"4,216.52","4,302.43","4,164.40","4,297.50"
May-21,"4,191.98","4,238.04","4,056.88","4,204.11"
Apr-21,"3,992.78","4,218.78","3,992.78","4,181.17"
Mar-21,"3,842.51","3,994.41","3,723.34","3,972.89"
Feb-21,"3,731.17","3,950.43","3,725.62","3,811.15"
Jan-21,"3,764.61","3,870.90","3,662.71","3,714.24"
